"source","destination","min","avg","max","mdev"
"Singapore","Zurich","153.409","153.431","153.869","0.022",
"Spain","Canada","107.777","108.504","113.709","0.888",
"Spain","Capetown","138.263","138.294","138.856","0.031",
"Spain","Frankfrut","23.549","25.621","26.952","1.432",
"Spain","Hongkong","211.602","214.724","221.080","2.936",
"Spain","Ireland","28.393","28.417","28.677","0.019",
"Spain","London","36.105","36.132","36.693","0.030",
"Spain","Milan","29.856","31.723","32.573","0.802",
"Spain","N.California","163.694","164.733","168.333","1.841",
"Spain","N.Virginia","101.046","101.087","101.755","0.036",
"Spain","Ohio","114.441","117.963","118.987","1.600",
"Spain","Oregon","149.301","150.653","156.126","2.382",
"Spain","Osaka","242.193","242.259","242.913","0.039",
"Spain","Paris","13.913","13.947","14.898","0.032",
"Spain","Saopaulo","211.902","211.955","213.567","0.066",
"Spain","Seoul","243.915","246.223","250.307","2.005",
"Spain","Singapore","170.284","171.449","172.616","0.913",
"Spain","Spain","0.098","0.128","0.496","0.024",
"Spain","Stockholm","57.785","57.826","58.765","0.053",
"Spain","Sydney","312.388","313.853","315.274","0.797",
"Spain","Tokyo","240.210","240.242","240.656","0.025",
"Spain","Zurich","28.581","28.610","29.953","0.041",
"Stockholm","Canada","106.808","106.835","107.744","0.029",
"Stockholm","Capetown","179.856","179.876","179.974","0.009",
"Stockholm","Frankfrut","20.260","20.289","20.873","0.031",
"Stockholm","Hongkong","213.472","215.076","217.720","1.421",
"Stockholm","Ireland","41.733","41.755","41.935","0.010",
"Stockholm","London","31.434","31.467","32.396","0.033",
"Stockholm","Milan","30.684","30.718","31.121","0.024",
"Stockholm","N.California","171.544","171.566","171.807","0.012",
"Stockholm","N.Virginia","109.260","109.448","109.815","0.165",
"Stockholm","Ohio","121.374","121.418","121.579","0.016",
"Stockholm","Oregon","156.039","156.060","156.335","0.015",
"Stockholm","Osaka","251.209","251.226","251.271","0.007",
"Stockholm","Paris","29.206","29.229","29.460","0.012",
"Stockholm","Saopaulo","221.933","221.968","222.096","0.013",
"Stockholm","Seoul","244.426","244.973","245.830","0.343",
"Stockholm","Singapore","176.005","176.044","176.856","0.062",
"Stockholm","Spain","52.787","52.811","53.627","0.024",
"Stockholm","Stockholm","0.100","0.122","0.300","0.011",
"Stockholm","Sydney","268.747","268.779","269.263","0.030",
"Stockholm","Tokyo","240.875","241.385","242.705","0.541",
"Stockholm","Zurich","25.923","26.167","26.648","0.278",
"Sydney","Canada","197.747","197.785","198.328","0.031",
"Sydney","Capetown","293.672","293.699","293.953","0.014",
"Sydney","Frankfrut","248.134","248.159","248.632","0.028",
"Sydney","Hongkong","125.925","125.980","127.419","0.114",
"Sydney","Ireland","254.977","255.013","256.405","0.076",
"Sydney","London","264.726","264.759","265.844","0.045",
"Sydney","Milan","239.818","239.864","241.041","0.062",
"Sydney","N.California","137.174","137.219","137.301","0.019",
"Sydney","N.Virginia","195.467","195.498","195.702","0.020",
"Sydney","Ohio","186.817","186.842","186.950","0.009",
"Sydney","Oregon","138.441","138.477","139.058","0.046",
"Sydney","Osaka","121.641","121.671","121.798","0.012",
"Sydney","Paris","276.280","276.452","276.562","0.015",
"Sydney","Saopaulo","309.695","309.734","310.333","0.028",
"Sydney","Seoul","143.730","143.754","143.896","0.013",
"Sydney","Singapore","92.396","92.434","93.797","0.056",
"Sydney","Spain","308.784","310.037","310.818","0.540",
"Sydney","Stockholm","270.237","270.262","270.665","0.030",
"Sydney","Sydney","0.104","0.128","0.233","0.009",
"Sydney","Tokyo","114.427","114.473","115.347","0.039",
"Sydney","Zurich","242.563","242.600","243.771","0.045",
"Tokyo","Canada","141.993","142.024","142.534","0.028",
"Tokyo","Capetown","284.469","284.503","284.940","0.024",
"Tokyo","Frankfrut","227.198","227.225","227.714","0.025",
"Tokyo","Hongkong","49.724","52.175","56.370","2.319",
"Tokyo","Ireland","199.894","199.934","201.026","0.035",
"Tokyo","London","207.324","207.359","207.699","0.023",
"Tokyo","Milan","213.189","213.225","214.113","0.038",
"Tokyo","N.California","105.998","106.021","106.109","0.011",
"Tokyo","N.Virginia","141.629","141.757","190.960","1.274",
"Tokyo","Ohio","130.390","131.228","131.578","0.327",
"Tokyo","Oregon","94.893","94.931","95.273","0.024",
"Tokyo","Osaka","7.406","7.431","7.626","0.013",
"Tokyo","Paris","214.511","214.537","214.757","0.017",
"Tokyo","Saopaulo","253.619","253.731","254.826","0.273",
"Tokyo","Seoul","34.231","34.264","34.563","0.016",
"Tokyo","Singapore","66.979","67.012","67.413","0.027",
"Tokyo","Spain","236.824","236.854","237.534","0.032",
"Tokyo","Stockholm","244.837","244.939","245.229","0.073",
"Tokyo","Sydney","100.997","101.031","101.645","0.038",
"Tokyo","Tokyo","0.098","0.132","1.089","0.040",
"Tokyo","Zurich","218.481","219.445","221.000","1.152",
"Zurich","Canada","91.914","92.377","92.797","0.181",
"Zurich","Capetown","146.210","146.252","146.580","0.058",
"Zurich","Frankfrut","6.508","6.588","6.873","0.085",
"Zurich","Hongkong","185.004","186.210","188.624","1.268",
"Zurich","Ireland","25.140","25.353","26.640","0.446",
"Zurich","London","16.271","16.524","17.759","0.361",
"Zurich","Milan","4.327","4.360","5.455","0.040",
"Zurich","N.California","148.158","150.930","153.005","2.189",
"Zurich","N.Virginia","89.553","89.586","90.225","0.027",
"Zurich","Ohio","102.637","102.770","102.961","0.067",
"Zurich","Oregon","140.874","140.897","141.122","0.015",
"Zurich","Osaka","223.317","223.335","225.322","0.052",
"Zurich","Paris","9.058","9.118","9.788","0.039",
"Zurich","Saopaulo","202.726","202.754","203.034","0.014",
"Zurich","Seoul","223.595","224.863","226.140","0.950",
"Zurich","Singapore","150.981","152.117","153.924","1.014",
"Zurich","Spain","28.581","28.607","29.124","0.025",
"Zurich","Stockholm","25.922","25.948","26.141","0.012",
"Zurich","Sydney","242.776","242.809","243.507","0.031",
"Zurich","Tokyo","218.692","220.858","221.940","1.362",
"Zurich","Zurich","0.096","0.120","0.290","0.013",
